Word,ID,Weight,Class
Res,1,0.006017985679143767,Data2
friendship,2,0.006017985679143767,Data2
05,3,0.006017985679143767,Data2
considered,4,0.006017985679143767,Data2
disability,5,0.006017985679143767,Data2
United,6,0.0
Wives,7,0.012035971358287535,Data2
Page,8,0.0
resolution,9,0.0
honors,10,0.006017985679143767,Data2
States,11,0.0
DESIGNATING,12,0.006017985679143767,Data2
Armed,13,0.018053957037431304,Data2
members,14,0.018053957037431304,Data2
WIVES,15,0.006017985679143767,Data2
which,16,0.0
spouses,17,0.018053957037431304,Data2
Gold,18,0.012035971358287535,Data2
SENATE,19,0.006017985679143767,Data2
made,20,0.006017985679143767,Data2
RESOLUTION,21,0.006017985679143767,Data2
active,22,0.006017985679143767,Data2
is,23,0.006017985679143767,Data2
April,24,0.006017985679143767,Data2
Senate,25,0.012035971358287535,Data2
AS,26,0.006017985679143767,Data2
himself,27,0.006017985679143767,Data2
as,28,0.006017985679143767,Data2
mission,29,0.006017985679143767,Data2
submitted,30,0.0
provide,31,0.006017985679143767,Data2
5,32,0.006017985679143767,Data2
following,33,0.0
SUBMITTED,34,0.006017985679143767,Data2
support,35,0.006017985679143767,Data2
S1675,36,0.006017985679143767,Data2
Inc,37,0.012035971358287535,Data2
who,38,0.006017985679143767,Data2
primary,39,0.006017985679143767,Data2
veterans,40,0.012035971358287535,Data2
Whereas,41,0.018053957037431304,Data2
Mr,42,0.0
RESOLUTIONS,43,0.006017985679143767,Data2
for,44,0.0
died,45,0.006017985679143767,Data2
BURR,46,0.006017985679143767,Data2
Forces,47,0.018053957037431304,Data2
Mrs,48,0.0
represents,49,0.006017985679143767,Data2
result,50,0.006017985679143767,Data2
S,51,0.006017985679143767,Data2
Star,52,0.012035971358287535,Data2
413,53,0.012035971358287535,Data2
and,54,0.0
by,55,0.0
of,56,0.0
America,57,0.012035971358287535,Data2
have,58,0.006017985679143767,Data2
``GOLD,59,0.006017985679143767,Data2
agreed,60,0.006017985679143767,Data2
APRIL,61,0.006017985679143767,Data2
BOXER,62,0.006017985679143767,Data2
on,63,0.006017985679143767,Data2
sacrifices,64,0.006017985679143767,Data2
a,65,0.012035971358287535,Data2
or,66,0.0
HELLER,67,0.006017985679143767,Data2
was,68,0.006017985679143767,Data2
services,69,0.006017985679143767,Data2
families,70,0.012035971358287535,Data2
the,71,0.0
connected,72,0.006017985679143767,Data2
fallen,73,0.012035971358287535,Data2
2016,74,0.0
STAR,75,0.006017985679143767,Data2
service,76,0.006017985679143767,Data2
duty,77,0.006017985679143767,Data2
to,78,0.0
DAY,79,0.006017985679143767,Data2
   By,80,-0.006017985679143767,Data1
granted,81,-0.006017985679143767,Data1
Department,82,-0.006017985679143767,Data1
Laws,83,-0.006017985679143767,Data1
foregoing,84,-0.006017985679143767,Data1
4841,85,-0.006017985679143767,Data1
4842,86,-0.006017985679143767,Data1
4843,87,-0.006017985679143767,Data1
ROTHFUS,88,-0.006017985679143767,Data1
4844,89,-0.006017985679143767,Data1
4845,90,-0.006017985679143767,Data1
4846,91,-0.006017985679143767,Data1
Constitution,92,-0.02407194271657507,Data1
4847,93,-0.006017985679143767,Data1
in,94,-0.018053957037431304,Data1
18,95,-0.006017985679143767,Data1
bill,96,-0.006017985679143767,Data1
House,97,-0.012035971358287535,Data1
BARLETTA,98,-0.006017985679143767,Data1
COMSTOCK,99,-0.006017985679143767,Data1
AUTHORITY,100,-0.006017985679143767,Data1
1,101,-0.012035971358287535,Data1
3,102,-0.006017985679143767,Data1
7,103,-0.006017985679143767,Data1
8,104,-0.03610791407486261,Data1
23,105,-0.006017985679143767,Data1
PATRICK,106,-0.006017985679143767,Data1
other,107,-0.006017985679143767,Data1
be,108,-0.006017985679143767,Data1
CARTWRIGHT,109,-0.006017985679143767,Data1
H,110,-0.03610791407486261,Data1
March,111,-0.006017985679143767,Data1
I,112,-0.030089928395718838,Data1
FARENTHOLD,113,-0.006017985679143767,Data1
