Word,Count,achieve,adverb,affect,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,discrep,excl,funct,future,hear,i,incl,inhib,insight,ipron,money,motion,negate,negemo,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,sad,see,shehe,social,space,tentat,they,time,verb,we,work,you,
a,6,0,0,0,0,0,0,0,0,0,1.3100436681222707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285714285714286,0,0,0,0,0,0,
about,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0.7692307692307693,0,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
accepted,6,0,0,0,0,0,0,0,0,33.333333333333336,0,4.137931034482759,0,9.090909090909092,0,0,0,0,0,3.658536585365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.955223880597014,0,0,0,0,0,0,0,0,0,0,0,0,21.428571428571427,
account,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.857142857142854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
after,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,8.333333333333334,1.5384615384615385,0,0,0,1.7391304347826086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
again,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,4.166666666666667,0,0,3.225806451612903,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,4,0,0,0,0,0,0,0,0,0,0.8733624454148472,2.7586206896551726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.814814814814815,0,66.66666666666667,0,0,
already,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,2.608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
also,5,0,0,0,0,0,10.0,0,0,0,1.091703056768559,0,0,0,0,0,0,0,16.129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
am,6,0,0,0,0,0,0,0,0,0,1.3100436681222707,0,0,0,0,0,0,0,0,3.658536585365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,9.523809523809524,0,0,0,0,0,
an,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904761904762,0,0,0,0,0,0,
and,25,0,0,0,0,0,50.0,0,0,0,5.458515283842795,17.24137931034483,0,0,0,0,0,0,0,0,0,0,0,0,0,60.97560975609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
any,3,0,0,0,0,0,0,0,0,0,0.6550218340611353,2.0689655172413794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,11.11111111111111,0,0,0,0,
are,5,0,0,0,0,0,0,0,0,0,1.091703056768559,0,0,0,0,0,0,0,0,3.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,0,0,0,7.936507936507937,0,0,0,0,0,
arrival,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
as,1,0,0,0,0,0,2.0,0,0,0,0.2183406113537118,0,0,0,0,0,0.7692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
asking,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
assign,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5714285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
at,26,0,0,0,0,0,0,0,0,0,5.676855895196507,0,37.142857142857146,0,0,0,20.0,0,0,0,22.608695652173914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
back,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,4.166666666666667,0,0,3.225806451612903,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
be,5,0,0,0,0,0,0,0,0,0,1.091703056768559,0,0,0,0,0,0,0,0,3.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.936507936507937,0,0,0,0,0,
because,1,0,0,12.5,0,0,2.0,0,0,0,0.2183406113537118,0.6896551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
become,1,0,0,0,0,0,0,0,0,5.555555555555555,0.2183406113537118,0.6896551724137931,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,1.5873015873015872,0,0,0,0,0,
been,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.985074626865672,0,0,0,0,0,0,0,3.1746031746031744,0,0,0,0,0,
both,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0.6896551724137931,1.4285714285714286,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,0,2.4390243902439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037037,0,0,0,0,
business,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285714285714286,0,0,3.5714285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
