Library,Developer,License
Weka 3,University of Waikato,GNU General Public License
Stanford CoreNLP,Stanford University,GNU General Public License
LibSVM,National Taiwan University,BSD License
jSoup,Massachusetts Institute of Technology,MIT License
Z-Label LDA,"David Andrzejewski, University of Wisconsin-Madison",GNU General Public License
LangDetect,Nakatani Shuyo,Apache License v2
SnowballStemmer,"Martin Porter, Richard Boulton",BSD License
Commons Lang,Apache,Apache License v2
Mallet,Andrew McCallum,Common Public License
Eclipse RCP,Eclipse Foundation,Eclipse Public License
